,gyroscope,light,accelerometer,magnetic,pressure
322,,,,,
323,,,,27488.0,
324,,,27492.0,,
325,27492.0,,,,
326,,,,,
327,,,27496.0,,
328,27496.0,,,,
329,,,,,
330,,,27501.0,,
331,27501.0,,,,
332,,,,,
333,,,,27502.0,
334,,,27505.0,,
335,27505.0,,,,
336,,,,,
337,,,27509.0,,
338,27510.0,,,,
339,,,,,
340,,,27514.0,,
341,27514.0,,,,
342,,,,,
343,,,,27515.0,
344,,,27518.0,,
345,27518.0,,,,
346,,,,,
347,,,27523.0,,
348,27523.0,,,,
349,,,,,
350,,,27527.0,,
351,27527.0,,,,
352,,,,,
353,,,,27528.0,
354,,,27531.0,,
355,27531.0,,,,
356,,,,,
357,,,27537.0,,
358,27537.0,,,,
359,,,,,
360,,,27541.0,,
361,27542.0,,,,
362,,,,,
363,,,,27543.0,
364,,,27544.0,,
365,27545.0,,,,
366,,,,,
367,,,27549.0,,
368,27550.0,,,,
369,,,,,
370,,,27554.0,,
371,27554.0,,,,
372,,,,,
373,,,,27555.0,
374,,,27558.0,,
375,27558.0,,,,
376,,,,,
377,,,27562.0,,
378,27562.0,,,,
379,,,,,
380,,,27567.0,,
381,27568.0,,,,
382,,,,,
383,,,,27571.0,
384,,,27571.0,,
385,27572.0,,,,
386,,,,,
387,,,27576.0,,
388,27576.0,,,,
389,,,,,
390,,,27580.0,,
391,27581.0,,,,
392,,,,,
393,,,,27581.0,
394,,,27584.0,,
395,27584.0,,,,
396,,,,,
397,,,27589.0,,
398,27589.0,,,,
399,,,,,
400,,,27593.0,,
401,27593.0,,,,
402,,,,,
403,,,,27593.0,
404,,,27597.0,,
405,27597.0,,,,
406,,,,,
407,,,27601.0,,
408,27601.0,,,,
409,,,,,
410,,,27606.0,,
411,27606.0,,,,
412,,,,,
413,,,,27607.0,
414,,,27610.0,,
415,27610.0,,,,
416,,,,,
417,,,27614.0,,
418,27617.0,,,,
419,,,,,
420,,,27619.0,,
421,,27619.0,,,
422,27619.0,,,,
423,,,,,
424,,,,27620.0,
425,,,27623.0,,
426,27623.0,,,,
427,,,,,
428,,,27627.0,,
429,27628.0,,,,
430,,,,,
431,,,27632.0,,
432,27632.0,,,,
433,,,,,
434,,,,27633.0,
435,,,27636.0,,
436,27637.0,,,,
437,,,,,
438,,,27641.0,,
439,27641.0,,,,
440,,,,,
441,,,27645.0,,
442,27646.0,,,,
443,,,,,
444,,,,27646.0,
445,,,27649.0,,
446,27649.0,,,,
447,,,,,
448,,,27653.0,,
449,27654.0,,,,
450,,,,,
451,,,27658.0,,
452,27659.0,,,,
453,,,,,
454,,,,27659.0,
455,,,27662.0,,
456,27663.0,,,,
457,,,,,
458,,,27667.0,,
459,27668.0,,,,
460,,,,,
461,,,27672.0,,
462,27672.0,,,,
463,,,,,
464,,,,27673.0,
465,,,27675.0,,
466,27676.0,,,,
467,,,,,
468,,,27680.0,,
469,,,,,27680.0
470,27681.0,,,,
471,,,,,
472,,,27685.0,,
473,27685.0,,,,
474,,,,,
475,,,,27686.0,
476,,,27689.0,,
477,27689.0,,,,
478,,,,,
479,,,27693.0,,
480,27694.0,,,,
481,,,,,
482,,,27698.0,,
483,27699.0,,,,
484,,,,,
485,,,,27701.0,
486,,,27702.0,,
487,27703.0,,,,
488,,,,,
489,,,27706.0,,
490,27707.0,,,,
491,,,,,
492,,,27711.0,,
493,27711.0,,,,
494,,,,,
495,,,,27712.0,
496,,,27715.0,,
497,27715.0,,,,
498,,,,,
499,,,27719.0,,
500,27720.0,,,,
501,,,,,
502,,,27724.0,,
503,27725.0,,,,
504,,,,,
505,,,,27725.0,
506,,,27728.0,,
507,27728.0,,,,
508,,,,,
509,,,27733.0,,
510,27733.0,,,,
511,,,,,
512,,,27737.0,,
513,27738.0,,,,
514,,,,,
515,,,,27738.0,
516,,,27741.0,,
517,27742.0,,,,
518,,,,,
519,,,27746.0,,
520,27747.0,,,,
521,,,,,
522,,,27751.0,,
523,27752.0,,,,
524,,,,,
525,,,,27753.0,
526,,,27754.0,,
527,27755.0,,,,
528,,,,,
529,,,27759.0,,
530,27759.0,,,,
531,,,,,
532,,,27764.0,,
533,27764.0,,,,
534,,,,,
535,,,,27767.0,
536,,,27769.0,,
537,27769.0,,,,
538,,,,,
539,,,27774.0,,
540,27774.0,,,,
541,,,,,
542,,,27777.0,,
543,27777.0,,,,
544,,,,,
545,,,,27778.0,
546,,27781.0,,,
547,,,27782.0,,
548,27782.0,,,,
549,,,,,
550,,,27785.0,,
551,27786.0,,,,
552,,,,,
553,,,27790.0,,
554,27790.0,,,,
555,,,,,
556,,,,27792.0,
557,,,27794.0,,
558,27794.0,,,,
559,,,,,
560,,,27799.0,,
561,27799.0,,,,
562,,,,,
563,,,27803.0,,
564,27804.0,,,,
565,,,,,
566,,,,27805.0,
567,,,27807.0,,
568,27807.0,,,,
569,,,,,
570,,,27812.0,,
571,27813.0,,,,
572,,,,,
573,,,27816.0,,
574,27816.0,,,,
575,,,,,
576,,,,27817.0,
577,,,27821.0,,
578,27821.0,,,,
579,,,,,
580,,,27824.0,,
581,27825.0,,,,
582,,,,,
583,,,27829.0,,
584,27829.0,,,,
585,,,,,
586,,,,27830.0,
587,,,27834.0,,
588,27836.0,,,,
589,,,,,
590,,,27838.0,,
591,27838.0,,,,
592,,,,,
593,,,27842.0,,
594,27843.0,,,,
595,,,,,
596,,,,27843.0,
597,,,27846.0,,
598,27847.0,,,,
599,,,,,
600,,,27852.0,,
601,27852.0,,,,
602,,,,,
603,,,27856.0,,
604,27857.0,,,,
605,,,,,
606,,,,27858.0,
607,,,27860.0,,
608,27860.0,,,,
609,,,,,
610,,,27864.0,,
611,27864.0,,,,
612,,,,,
613,,,27869.0,,
614,27869.0,,,,
615,,,,,
616,,,,27870.0,
617,,,27873.0,,
618,27873.0,,,,
619,,,,,
620,,,27877.0,,
621,27878.0,,,,
622,,,,,
623,,,,,27879.0
624,,,27883.0,,
625,27883.0,,,,
626,,,,,
627,,,,27885.0,
628,,,27886.0,,
629,27888.0,,,,
630,,,,,
631,,,27890.0,,
632,27890.0,,,,
633,,,,,
634,,,27895.0,,
635,27895.0,,,,
636,,,,,
