,gyroscope,light,accelerometer,magnetic,pressure
3240,,,,,
3241,,,31271.0,,
3242,31272.0,,,,
3243,,,,,
3244,,,,31273.0,
3245,,,31276.0,,
3246,31276.0,,,,
3247,,,,,
3248,,,31280.0,,
3249,31280.0,,,,
3250,,,,,
3251,,,31285.0,,
3252,31285.0,,,,
3253,,,,,
3254,,,,31286.0,
3255,,,31288.0,,
3256,31289.0,,,,
3257,,,,,
3258,,,,,31289.0
3259,,,31294.0,,
3260,31294.0,,,,
3261,,,,,
3262,,,31298.0,,
3263,31299.0,,,,
3264,,31299.0,,,
3265,,,,,
3266,,,,31300.0,
3267,,,31302.0,,
3268,31302.0,,,,
3269,,,,,
3270,,,31306.0,,
3271,31307.0,,,,
3272,,,,,
3273,,,31311.0,,
3274,31312.0,,,,
3275,,,,,
3276,,,,31313.0,
3277,,,31315.0,,
3278,31315.0,,,,
3279,,,,,
3280,,,31319.0,,
3281,31320.0,,,,
3282,,,,,
3283,,,31324.0,,
3284,31324.0,,,,
3285,,,,,
3286,,,,31325.0,
3287,,,31329.0,,
3288,31329.0,,,,
3289,,,,,
3290,,,31333.0,,
3291,31333.0,,,,
3292,,,,,
3293,,,31338.0,,
3294,31338.0,,,,
3295,,,,,
3296,,,,31338.0,
3297,,,31341.0,,
3298,31342.0,,,,
3299,,,,,
3300,,,31345.0,,
3301,31346.0,,,,
3302,,,,,
3303,,,31350.0,,
3304,31351.0,,,,
3305,,,,,
3306,,,,31352.0,
3307,,,31354.0,,
3308,31355.0,,,,
3309,,,,,
3310,,,31359.0,,
3311,31359.0,,,,
3312,,,,,
3313,,,31364.0,,
3314,31364.0,,,,
3315,,,,,
3316,,,,31366.0,
3317,,,31368.0,,
3318,31368.0,,,,
3319,,,,,
3320,,,31372.0,,
3321,31372.0,,,,
3322,,,,,
3323,,,31377.0,,
3324,31377.0,,,,
3325,,,,,
3326,,,,31380.0,
3327,,,31381.0,,
3328,31381.0,,,,
3329,,,,,
3330,,,31385.0,,
3331,31386.0,,,,
3332,,,,,
3333,,,31390.0,,
3334,31390.0,,,,
3335,,,,,
3336,,,,31391.0,
3337,,,31394.0,,
3338,31395.0,,,,
3339,,,,,
3340,,,31398.0,,
3341,31399.0,,,,
3342,,,,,
3343,,,31403.0,,
3344,31403.0,,,,
3345,,,,,
3346,,,,31404.0,
3347,,,31407.0,,
3348,31407.0,,,,
3349,,,,,
3350,,,31413.0,,
3351,31413.0,,,,
3352,,,,,
3353,,,31416.0,,
3354,31416.0,,,,
3355,,,,,
3356,,,,31418.0,
3357,,,31420.0,,
3358,31420.0,,,,
3359,,,,,
3360,,,31424.0,,
3361,31425.0,,,,
3362,,,,,
3363,,,31429.0,,
3364,31432.0,,,,
3365,,,,,
3366,,,,31433.0,
3367,,,31434.0,,
3368,31435.0,,,,
3369,,,,,
3370,,,31437.0,,
3371,31438.0,,,,
3372,,,,,
3373,,,31443.0,,
3374,31443.0,,,,
3375,,,,,
3376,,,,31444.0,
3377,,,31447.0,,
3378,31447.0,,,,
3379,,,,,
3380,,,31451.0,,
3381,31451.0,,,,
3382,,,,,
3383,,,31455.0,,
3384,31456.0,,,,
3385,,,,,
3386,,,,31456.0,
3387,,,31460.0,,
3388,31460.0,,,,
3389,,,,,
3390,,31464.0,,,
3391,,,31464.0,,
3392,31464.0,,,,
3393,,,,,
3394,,,31469.0,,
3395,31469.0,,,,
3396,,,,,
3397,,,,31470.0,
3398,,,31472.0,,
3399,31473.0,,,,
3400,,,,,
3401,,,31477.0,,
3402,31477.0,,,,
3403,,,,,
3404,,,31483.0,,
3405,31483.0,,,,
3406,,,,,
3407,,,,31484.0,
3408,,,31486.0,,
3409,31486.0,,,,
3410,,,,,
3411,,,31490.0,,
3412,,,,,31490.0
3413,31491.0,,,,
3414,,,,,
3415,,,31496.0,,
3416,31498.0,,,,
3417,,,,,
3418,,,,31498.0,
3419,,,31499.0,,
3420,31499.0,,,,
3421,,,,,
3422,,,31504.0,,
3423,31504.0,,,,
3424,,,,,
3425,,,31508.0,,
3426,31509.0,,,,
3427,,,,,
3428,,,,31509.0,
3429,,,31512.0,,
3430,31513.0,,,,
3431,,,,,
3432,,,31517.0,,
3433,31518.0,,,,
3434,,,,,
3435,,,31521.0,,
3436,31522.0,,,,
3437,,,,,
3438,,,,31523.0,
3439,,,31526.0,,
3440,31526.0,,,,
3441,,,,,
3442,,,31530.0,,
3443,31531.0,,,,
3444,,,,,
3445,,,31534.0,,
3446,31535.0,,,,
3447,,,,,
3448,,,,31536.0,
3449,,,31538.0,,
3450,31539.0,,,,
3451,,,,,
3452,,,31543.0,,
3453,31544.0,,,,
3454,,,,,
3455,,,31547.0,,
3456,31548.0,,,,
3457,,,,,
3458,,,,31548.0,
3459,,,31551.0,,
3460,31552.0,,,,
3461,,,,,
3462,,,31556.0,,
3463,31556.0,,,,
3464,,,,,
3465,,,31561.0,,
3466,31562.0,,,,
3467,,,,,
3468,,,,31562.0,
3469,,,31566.0,,
3470,31566.0,,,,
3471,,,,,
3472,,,31570.0,,
3473,31571.0,,,,
3474,,,,,
3475,,,31574.0,,
3476,31575.0,,,,
3477,,,,,
3478,,,,31577.0,
3479,,,31578.0,,
3480,31578.0,,,,
3481,,,,,
3482,,,31582.0,,
3483,31582.0,,,,
3484,,,,,
3485,,,31587.0,,
3486,31588.0,,,,
3487,,,,,
3488,,,,31590.0,
3489,,,31591.0,,
3490,31591.0,,,,
3491,,,,,
3492,,,31596.0,,
3493,31596.0,,,,
3494,,,,,
3495,,,31600.0,,
3496,31600.0,,,,
3497,,,,,
3498,,,,31602.0,
3499,,,31604.0,,
3500,31604.0,,,,
3501,,,,,
3502,,,31608.0,,
3503,31609.0,,,,
3504,,,,,
3505,,,31613.0,,
3506,31613.0,,,,
3507,,,,,
3508,,,,31614.0,
3509,,,31617.0,,
3510,,31618.0,,,
3511,31618.0,,,,
3512,,,,,
3513,,,31621.0,,
3514,31622.0,,,,
3515,,,,,
3516,,,31626.0,,
3517,31627.0,,,,
3518,,,,,
3519,,,,31630.0,
3520,,,31631.0,,
3521,31631.0,,,,
3522,,,,,
3523,,,31635.0,,
3524,31635.0,,,,
3525,,,,,
3526,,,31640.0,,
3527,31644.0,,,,
3528,,,,,
3529,,,,31644.0,
3530,,,31644.0,,
3531,31645.0,,,,
3532,,,,,
3533,,,31648.0,,
3534,31648.0,,,,
3535,,,,,
3536,,,31653.0,,
3537,31653.0,,,,
3538,,,,,
3539,,,,31654.0,
3540,,,31656.0,,
3541,31657.0,,,,
3542,,,,,
3543,,,31661.0,,
3544,31662.0,,,,
3545,,,,,
3546,,,31668.0,,
3547,31669.0,,,,
3548,,,,,
3549,,,,31670.0,
3550,,,31670.0,,
3551,31671.0,,,,
3552,,,,,
3553,,,31674.0,,
3554,31675.0,,,,
3555,,,,,
3556,,,31679.0,,
3557,31679.0,,,,
3558,,,,,
3559,,,,31680.0,
3560,,,31683.0,,
3561,31684.0,,,,
3562,,,,,
3563,,,31687.0,,
3564,31687.0,,,,
3565,,,,,
3566,,,,,31688.0
3567,,,31693.0,,
3568,31694.0,,,,
3569,,,,,
3570,,,,31694.0,
3571,,,31697.0,,
3572,31697.0,,,,
3573,,,,,
3574,,,31701.0,,
3575,31702.0,,,,
3576,,,,,
3577,,,31705.0,,
3578,31706.0,,,,
3579,,,,,
3580,,,,31708.0,
3581,,,31710.0,,
3582,31711.0,,,,
3583,,,,,
3584,,,31714.0,,
3585,31714.0,,,,
3586,,,,,
3587,,,31719.0,,
3588,31720.0,,,,
3589,,,,,
3590,,,,31721.0,
3591,,,31723.0,,
3592,31723.0,,,,
3593,,,,,
3594,,,31728.0,,
3595,31728.0,,,,
3596,,,,,
3597,,,31732.0,,
3598,31732.0,,,,
3599,,,,,
3600,,,,31734.0,
3601,,,31735.0,,
3602,31736.0,,,,
3603,,,,,
3604,,,31740.0,,
3605,31740.0,,,,
3606,,,,,
3607,,,31744.0,,
3608,31745.0,,,,
3609,,,,,
3610,,,,31745.0,
3611,,,31749.0,,
3612,31749.0,,,,
3613,,,,,
3614,,,31753.0,,
3615,31753.0,,,,
3616,,,,,
3617,,,31758.0,,
3618,31758.0,,,,
3619,,,,,
3620,,,,31760.0,
3621,,,31767.0,,
3622,31767.0,,,,
3623,,,,,
3624,,,31768.0,,
3625,31768.0,,,,
3626,,,,,
3627,,,31771.0,,
3628,31771.0,,,,
3629,,,,,
3630,,,,31773.0,
3631,,,31775.0,,
3632,31775.0,,,,
3633,,,,,
3634,,31780.0,,,
3635,,,31780.0,,
3636,31780.0,,,,
3637,,,,,
3638,,,31784.0,,
3639,31784.0,,,,
3640,,,,,
3641,,,,31785.0,
3642,,,31789.0,,
3643,31789.0,,,,
3644,,,,,
3645,,,31792.0,,
3646,31793.0,,,,
3647,,,,,
3648,,,31798.0,,
3649,31798.0,,,,
3650,,,,,
3651,,,,31799.0,
3652,,,31801.0,,
3653,31801.0,,,,
3654,,,,,
3655,,,31806.0,,
3656,31806.0,,,,
3657,,,,,
3658,,,31810.0,,
3659,31811.0,,,,
3660,,,,,
3661,,,,31812.0,
3662,,,31814.0,,
3663,31814.0,,,,
3664,,,,,
3665,,,31819.0,,
3666,31819.0,,,,
3667,,,,,
3668,,,31823.0,,
3669,31824.0,,,,
3670,,,,,
3671,,,,31824.0,
3672,,,31828.0,,
3673,31828.0,,,,
3674,,,,,
3675,,,31832.0,,
3676,31832.0,,,,
3677,,,,,
3678,,,31836.0,,
3679,31837.0,,,,
3680,,,,,
3681,,,,31838.0,
3682,,,31841.0,,
3683,31841.0,,,,
3684,,,,,
3685,,,31845.0,,
3686,31845.0,,,,
3687,,,,,
3688,,,31850.0,,
3689,31851.0,,,,
3690,,,,,
3691,,,,31853.0,
3692,,,31854.0,,
3693,31854.0,,,,
3694,,,,,
3695,,,31858.0,,
3696,31859.0,,,,
3697,,,,,
3698,,,31863.0,,
3699,31864.0,,,,
3700,,,,,
3701,,,,31866.0,
3702,,,31867.0,,
3703,31867.0,,,,
3704,,,,,
3705,,,31871.0,,
3706,31872.0,,,,
3707,,,,,
3708,,,31876.0,,
3709,31877.0,,,,
3710,,,,,
3711,,,,31877.0,
3712,,,31880.0,,
3713,31880.0,,,,
3714,,,,,
3715,,,31884.0,,
3716,31884.0,,,,
3717,,,,,
3718,,,31890.0,,
3719,,,,,31891.0
3720,31891.0,,,,
3721,,,,,
3722,,,,31896.0,
3723,,,31896.0,,
3724,31896.0,,,,
3725,,,,,
3726,,,31897.0,,
3727,31898.0,,,,
3728,,,,,
3729,,,31902.0,,
3730,31903.0,,,,
3731,,,,,
3732,,,,31903.0,
3733,,,31906.0,,
3734,31906.0,,,,
3735,,,,,
3736,,,31911.0,,
3737,31911.0,,,,
3738,,,,,
3739,,,31915.0,,
3740,31916.0,,,,
3741,,,,,
3742,,,,31916.0,
3743,,,31919.0,,
3744,31920.0,,,,
3745,,,,,
3746,,,31924.0,,
3747,31924.0,,,,
3748,,,,,
3749,,,31929.0,,
3750,31929.0,,,,
3751,,,,,
3752,,,,31931.0,
3753,,,31932.0,,
3754,31933.0,,,,
3755,,,,,
3756,,,31937.0,,
3757,31937.0,,,,
3758,,31938.0,,,
3759,,,,,
3760,,,31942.0,,
3761,31942.0,,,,
3762,,,,,
3763,,,,31944.0,
3764,,,31946.0,,
3765,31946.0,,,,
3766,,,,,
3767,,,31951.0,,
3768,31951.0,,,,
3769,,,,,
3770,,,31955.0,,
3771,31955.0,,,,
3772,,,,,
3773,,,,31956.0,
3774,,,31959.0,,
3775,31959.0,,,,
3776,,,,,
3777,,,31963.0,,
3778,31964.0,,,,
3779,,,,,
3780,,,31968.0,,
3781,31968.0,,,,
3782,,,,,
3783,,,,31970.0,
3784,,,31972.0,,
3785,31972.0,,,,
3786,,,,,
3787,,,31977.0,,
3788,31977.0,,,,
3789,,,,,
3790,,,31981.0,,
3791,31981.0,,,,
3792,,,,,
3793,,,,31982.0,
3794,,,31985.0,,
3795,31985.0,,,,
3796,,,,,
3797,,,31990.0,,
3798,31990.0,,,,
3799,,,,,
3800,,,31994.0,,
3801,31995.0,,,,
3802,,,,,
3803,,,,31996.0,
3804,,,31998.0,,
3805,31999.0,,,,
3806,,,,,
3807,,,32002.0,,
3808,32003.0,,,,
3809,,,,,
3810,,,32008.0,,
3811,32008.0,,,,
3812,,,,,
3813,,,,32010.0,
3814,,,32012.0,,
3815,32012.0,,,,
3816,,,,,
3817,,,32016.0,,
3818,32016.0,,,,
3819,,,,,
3820,,,32021.0,,
3821,32021.0,,,,
3822,,,,,
3823,,,,32022.0,
3824,,,32025.0,,
3825,32025.0,,,,
3826,,,,,
3827,,,32029.0,,
3828,32029.0,,,,
3829,,,,,
3830,,,32034.0,,
3831,32034.0,,,,
3832,,,,,
3833,,,,32035.0,
3834,,,32038.0,,
3835,32038.0,,,,
3836,,,,,
3837,,,32042.0,,
3838,32042.0,,,,
3839,,,,,
3840,,,32046.0,,
3841,32047.0,,,,
3842,,,,,
3843,,,,32047.0,
3844,,,32051.0,,
3845,32051.0,,,,
3846,,,,,
3847,,,32055.0,,
3848,32055.0,,,,
3849,,,,,
3850,,,32060.0,,
3851,32060.0,,,,
3852,,,,,
3853,,,,32062.0,
3854,,,32064.0,,
3855,32064.0,,,,
3856,,,,,
3857,,,32069.0,,
3858,32069.0,,,,
3859,,,,,
3860,,,32073.0,,
3861,32073.0,,,,
3862,,,,,
3863,,,,32074.0,
3864,,,32078.0,,
3865,32078.0,,,,
3866,,,,,
3867,,,32082.0,,
3868,32082.0,,,,
3869,,,,,
3870,,,32086.0,,
3871,32087.0,,,,
3872,,,,,
3873,,,,,32088.0
3874,,,,32088.0,
3875,,,32091.0,,
3876,32091.0,,,,
3877,,,,,
3878,,,32094.0,,
3879,32095.0,,,,
3880,,,,,
3881,,,32099.0,,
3882,,32100.0,,,
3883,32100.0,,,,
3884,,,,,
3885,,,,32102.0,
3886,,,32103.0,,
3887,32104.0,,,,
3888,,,,,
3889,,,32108.0,,
3890,32108.0,,,,
3891,,,,,
3892,,,32112.0,,
3893,32113.0,,,,
3894,,,,,
3895,,,,32113.0,
3896,,,32116.0,,
3897,32117.0,,,,
3898,,,,,
3899,,,32121.0,,
3900,32121.0,,,,
3901,,,,,
3902,,,32125.0,,
3903,32126.0,,,,
3904,,,,,
3905,,,,32128.0,
3906,,,32130.0,,
3907,32130.0,,,,
3908,,,,,
3909,,,32134.0,,
3910,32134.0,,,,
3911,,,,,
3912,,,32139.0,,
3913,32139.0,,,,
3914,,,,,
3915,,,,32140.0,
3916,,,32142.0,,
3917,32143.0,,,,
3918,,,,,
3919,,,32148.0,,
3920,32149.0,,,,
3921,,,,,
3922,,,32152.0,,
3923,32152.0,,,,
3924,,,,,
3925,,,,32153.0,
3926,,,32155.0,,
3927,32156.0,,,,
3928,,,,,
3929,,,32160.0,,
3930,32160.0,,,,
3931,,,,,
3932,,,32165.0,,
3933,32166.0,,,,
3934,,,,,
3935,,,,32166.0,
3936,,,32169.0,,
3937,32169.0,,,,
3938,,,,,
3939,,,32173.0,,
3940,32174.0,,,,
3941,,,,,
3942,,,32178.0,,
3943,32178.0,,,,
3944,,,,,
3945,,,,32181.0,
3946,,,32182.0,,
3947,32182.0,,,,
3948,,,,,
3949,,,32186.0,,
3950,32187.0,,,,
3951,,,,,
3952,,,32191.0,,
3953,32191.0,,,,
3954,,,,,
3955,,,,32192.0,
3956,,,32195.0,,
3957,32195.0,,,,
3958,,,,,
3959,,,32199.0,,
3960,32200.0,,,,
3961,,,,,
3962,,,32204.0,,
3963,32205.0,,,,
3964,,,,,
3965,,,,32205.0,
3966,,,32208.0,,
3967,32208.0,,,,
3968,,,,,
3969,,,32212.0,,
3970,32213.0,,,,
3971,,,,,
3972,,,32217.0,,
3973,32218.0,,,,
3974,,,,,
3975,,,,32218.0,
3976,,,32221.0,,
3977,32222.0,,,,
3978,,,,,
3979,,,32226.0,,
3980,32226.0,,,,
3981,,,,,
3982,,,32231.0,,
3983,32231.0,,,,
3984,,,,,
3985,,,,32232.0,
3986,,,32235.0,,
3987,32235.0,,,,
3988,,,,,
3989,,,32239.0,,
3990,32239.0,,,,
3991,,,,,
3992,,,32244.0,,
3993,32244.0,,,,
3994,,,,,
3995,,,,32245.0,
3996,,,32248.0,,
3997,32249.0,,,,
3998,,,,,
3999,,,32252.0,,
4000,32253.0,,,,
4001,,,,,
4002,,,32257.0,,
4003,32257.0,,,,
4004,,32257.0,,,
4005,,,,,
4006,,,,32258.0,
4007,,,32261.0,,
4008,32261.0,,,,
4009,,,,,
4010,,,32265.0,,
4011,32266.0,,,,
4012,,,,,
4013,,,32270.0,,
4014,32270.0,,,,
4015,,,,,
4016,,,,32271.0,
4017,,,32274.0,,
4018,32274.0,,,,
4019,,,,,
4020,,,32278.0,,
4021,32279.0,,,,
4022,,,,,
4023,,,32283.0,,
4024,32284.0,,,,
4025,,,,,
4026,,,,32284.0,
4027,,,32287.0,,
4028,32288.0,,,,
4029,,,,,32288.0
4030,,,,,
4031,,,32291.0,,
4032,32292.0,,,,
4033,,,,,
4034,,,32296.0,,
4035,32296.0,,,,
4036,,,,,
4037,,,,32297.0,
4038,,,32300.0,,
4039,32301.0,,,,
4040,,,,,
4041,,,32305.0,,
4042,32306.0,,,,
4043,,,,,
4044,,,32310.0,,
4045,32310.0,,,,
4046,,,,,
4047,,,,32311.0,
4048,,,32313.0,,
4049,32314.0,,,,
4050,,,,,
4051,,,32318.0,,
4052,32318.0,,,,
4053,,,,,
4054,,,32322.0,,
4055,32324.0,,,,
4056,,,,,
4057,,,,32324.0,
4058,,,32327.0,,
4059,32327.0,,,,
4060,,,,,
4061,,,32331.0,,
4062,32332.0,,,,
4063,,,,,
4064,,,32336.0,,
4065,32336.0,,,,
4066,,,,,
4067,,,,32338.0,
4068,,,32340.0,,
4069,32340.0,,,,
4070,,,,,
4071,,,32344.0,,
4072,32344.0,,,,
4073,,,,,
4074,,,32349.0,,
4075,32349.0,,,,
4076,,,,,
4077,,,,32352.0,
4078,,,32353.0,,
4079,32354.0,,,,
4080,,,,,
4081,,,32357.0,,
4082,32358.0,,,,
4083,,,,,
4084,,,32362.0,,
4085,32362.0,,,,
4086,,,,,
4087,,,,32364.0,
4088,,,32367.0,,
4089,32367.0,,,,
4090,,,,,
4091,,,32371.0,,
4092,32371.0,,,,
4093,,,,,
4094,,,32375.0,,
4095,32375.0,,,,
4096,,,,,
4097,,,,32377.0,
4098,,,32379.0,,
4099,32380.0,,,,
4100,,,,,
4101,,,32383.0,,
4102,32384.0,,,,
4103,,,,,
4104,,,32389.0,,
4105,32389.0,,,,
4106,,,,,
4107,,,,32390.0,
4108,,,32393.0,,
4109,32393.0,,,,
4110,,,,,
4111,,,32397.0,,
4112,32397.0,,,,
4113,,,,,
4114,,,32401.0,,
4115,32402.0,,,,
4116,,,,,
4117,,,,32402.0,
4118,,,32405.0,,
4119,32406.0,,,,
4120,,,,,
4121,,,32410.0,,
4122,32410.0,,,,
4123,,,,,
4124,,,32415.0,,
4125,32415.0,,,,
4126,,,,,
4127,,,,32415.0,
4128,,,32419.0,,
4129,32419.0,,,,
4130,,,,,
4131,,32423.0,,,
4132,,,32423.0,,
4133,32423.0,,,,
4134,,,,,
4135,,,32428.0,,
4136,32428.0,,,,
4137,,,,,
4138,,,,32429.0,
4139,,,32432.0,,
4140,32432.0,,,,
4141,,,,,
4142,,,32437.0,,
4143,32437.0,,,,
4144,,,,,
4145,,,32441.0,,
4146,32441.0,,,,
4147,,,,,
4148,,,,32442.0,
4149,,,32445.0,,
4150,32445.0,,,,
4151,,,,,
4152,,,32449.0,,
4153,32450.0,,,,
4154,,,,,
4155,,,32454.0,,
4156,32454.0,,,,
4157,,,,,
4158,,,,32455.0,
4159,,,32459.0,,
4160,32459.0,,,,
4161,,,,,
4162,,,32462.0,,
4163,32463.0,,,,
4164,,,,,
4165,,,32467.0,,
4166,32467.0,,,,
4167,,,,,
4168,,,,32470.0,
4169,,,32472.0,,
4170,32472.0,,,,
4171,,,,,
4172,,,32476.0,,
4173,32476.0,,,,
4174,,,,,
4175,,,32480.0,,
4176,32481.0,,,,
4177,,,,,
4178,,,,32482.0,
4179,,,32484.0,,
4180,32485.0,,,,
4181,,,,,
4182,,,32490.0,,
4183,,,,,32490.0
4184,32491.0,,,,
4185,,,,,
4186,,,32493.0,,
4187,32495.0,,,,
4188,,,,,
4189,,,,32497.0,
4190,,,32498.0,,
4191,32499.0,,,,
4192,,,,,
4193,,,32502.0,,
4194,32502.0,,,,
4195,,,,,
4196,,,32506.0,,
4197,32508.0,,,,
4198,,,,,
4199,,,,32509.0,
4200,,,32511.0,,
4201,32511.0,,,,
4202,,,,,
4203,,,32515.0,,
4204,32515.0,,,,
4205,,,,,
4206,,,32520.0,,
4207,32520.0,,,,
4208,,,,,
4209,,,,32521.0,
4210,,,32524.0,,
4211,32524.0,,,,
4212,,,,,
4213,,,32529.0,,
4214,32529.0,,,,
4215,,,,,
4216,,,32533.0,,
4217,32534.0,,,,
4218,,,,,
4219,,,,32535.0,
4220,,,32538.0,,
4221,32538.0,,,,
4222,,,,,
4223,,,32541.0,,
4224,32542.0,,,,
4225,,,,,
4226,,,32546.0,,
4227,32546.0,,,,
4228,,,,,
4229,,,,32548.0,
4230,,,32551.0,,
4231,32551.0,,,,
4232,,,,,
4233,,,32555.0,,
4234,32555.0,,,,
4235,,,,,
4236,,,32559.0,,
4237,32559.0,,,,
4238,,,,,
4239,,,,32561.0,
4240,,,32563.0,,
4241,32564.0,,,,
4242,,,,,
4243,,,32567.0,,
4244,32568.0,,,,
4245,,,,,
4246,,,32572.0,,
4247,32573.0,,,,
4248,,,,,
4249,,,,32575.0,
4250,,,32576.0,,
4251,32577.0,,,,
4252,,,,,
4253,,32578.0,,,
4254,,,32581.0,,
4255,32581.0,,,,
4256,,,,,
4257,,,32585.0,,
4258,32586.0,,,,
4259,,,,,
4260,,,,32586.0,
4261,,,32589.0,,
4262,32590.0,,,,
4263,,,,,
4264,,,32594.0,,
4265,32594.0,,,,
4266,,,,,
4267,,,32598.0,,
4268,32599.0,,,,
4269,,,,,
4270,,,,32600.0,
4271,,,32602.0,,
4272,32603.0,,,,
4273,,,,,
4274,,,32607.0,,
4275,32607.0,,,,
4276,,,,,
4277,,,32612.0,,
4278,32612.0,,,,
4279,,,,,
4280,,,,32613.0,
4281,,,32616.0,,
4282,32616.0,,,,
4283,,,,,
4284,,,32620.0,,
4285,32620.0,,,,
4286,,,,,
4287,,,32625.0,,
4288,32625.0,,,,
4289,,,,,
4290,,,,32626.0,
4291,,,32629.0,,
4292,32629.0,,,,
4293,,,,,
4294,,,32634.0,,
4295,32634.0,,,,
4296,,,,,
4297,,,32639.0,,
4298,32639.0,,,,
4299,,,,,
4300,,,,32639.0,
4301,,,32642.0,,
4302,32642.0,,,,
4303,,,,,
4304,,,32647.0,,
4305,32647.0,,,,
4306,,,,,
4307,,,32651.0,,
4308,32651.0,,,,
4309,,,,,
4310,,,,32652.0,
4311,,,32655.0,,
4312,32655.0,,,,
4313,,,,,
4314,,,32659.0,,
4315,32660.0,,,,
4316,,,,,
4317,,,32664.0,,
4318,32665.0,,,,
4319,,,,,
4320,,,,32666.0,
4321,,,32668.0,,
4322,32669.0,,,,
4323,,,,,
4324,,,32673.0,,
4325,32673.0,,,,
4326,,,,,
4327,,,32678.0,,
4328,32678.0,,,,
4329,,,,,
4330,,,,32680.0,
4331,,,32681.0,,
4332,32682.0,,,,
4333,,,,,
4334,,,32686.0,,
4335,32686.0,,,,
4336,,,,,
4337,,,,,32688.0
4338,,,32691.0,,
4339,32691.0,,,,
4340,,,,,
4341,,,,32692.0,
4342,,,32694.0,,
4343,32695.0,,,,
4344,,,,,
4345,,,32699.0,,
4346,32699.0,,,,
4347,,,,,
4348,,,32704.0,,
4349,32704.0,,,,
4350,,,,,
4351,,,,32705.0,
4352,,,32708.0,,
4353,32708.0,,,,
4354,,,,,
4355,,,32712.0,,
4356,32713.0,,,,
4357,,,,,
4358,,,32716.0,,
4359,32717.0,,,,
4360,,,,,
4361,,,,32718.0,
4362,,,32721.0,,
4363,32722.0,,,,
4364,,,,,
4365,,,32725.0,,
4366,32725.0,,,,
4367,,,,,
4368,,,32730.0,,
4369,32730.0,,,,
4370,,,,,
4371,,,,32732.0,
4372,,,32735.0,,
4373,32735.0,,,,
4374,,,,,
4375,,,32739.0,,
4376,32739.0,,,,
4377,,,,,
4378,,32746.0,,,
4379,,,32746.0,,
4380,32746.0,,,,
4381,,,,,
4382,,,,32747.0,
4383,,,32748.0,,
4384,32748.0,,,,
4385,,,,,
4386,,,32752.0,,
4387,32752.0,,,,
4388,,,,,
4389,,,32757.0,,
4390,32757.0,,,,
4391,,,,,
4392,,,,32759.0,
4393,,,32763.0,,
4394,32763.0,,,,
4395,,,,,
4396,,,32765.0,,
4397,32766.0,,,,
4398,,,,,
4399,,,32770.0,,
4400,32770.0,,,,
4401,,,,,
4402,,,,32771.0,
4403,,,32774.0,,
4404,32774.0,,,,
4405,,,,,
4406,,,32778.0,,
4407,32779.0,,,,
4408,,,,,
4409,,,32783.0,,
4410,32783.0,,,,
4411,,,,,
4412,,,,32785.0,
4413,,,32787.0,,
4414,32788.0,,,,
4415,,,,,
4416,,,32791.0,,
4417,32792.0,,,,
4418,,,,,
4419,,,32796.0,,
4420,32797.0,,,,
4421,,,,,
4422,,,,32798.0,
4423,,,32802.0,,
4424,32803.0,,,,
4425,,,,,
4426,,,32805.0,,
4427,32806.0,,,,
4428,,,,,
4429,,,32809.0,,
4430,32810.0,,,,
4431,,,,,
4432,,,,32813.0,
4433,,,32818.0,,
4434,32819.0,,,,
4435,,,,,
4436,,,32819.0,,
4437,32819.0,,,,
4438,,,,,
4439,,,32823.0,,
4440,32823.0,,,,
4441,,,,,
4442,,,,32824.0,
4443,,,32826.0,,
4444,32827.0,,,,
4445,,,,,
4446,,,32831.0,,
4447,32831.0,,,,
4448,,,,,
4449,,,32836.0,,
4450,32836.0,,,,
4451,,,,,
4452,,,,32836.0,
4453,,,32839.0,,
4454,32839.0,,,,
4455,,,,,
4456,,,32844.0,,
4457,32844.0,,,,
4458,,,,,
4459,,,32848.0,,
4460,32849.0,,,,
4461,,,,,
4462,,,,32850.0,
4463,,,32852.0,,
4464,32853.0,,,,
4465,,,,,
4466,,,32856.0,,
4467,32857.0,,,,
4468,,,,,
4469,,,32861.0,,
4470,32861.0,,,,
4471,,,,,
4472,,,,32863.0,
4473,,,32865.0,,
4474,32866.0,,,,
4475,,,,,
4476,,,32870.0,,
4477,32870.0,,,,
4478,,,,,
4479,,,32875.0,,
4480,32875.0,,,,
4481,,,,,
4482,,,,32875.0,
4483,,,32879.0,,
4484,32879.0,,,,
4485,,,,,
4486,,,32883.0,,
4487,32883.0,,,,
4488,,,,,
4489,,,32887.0,,
4490,32888.0,,,,
4491,,,,,
4492,,,,,32889.0
4493,,,,32889.0,
4494,,,32895.0,,
4495,32895.0,,,,
4496,,,,,
4497,,,32896.0,,
4498,32896.0,,,,
4499,,,,,
4500,,32901.0,,,
4501,,,32901.0,,
4502,32902.0,,,,
4503,,,,,
4504,,,,32902.0,
4505,,,32905.0,,
4506,32905.0,,,,
4507,,,,,
4508,,,32909.0,,
4509,32909.0,,,,
4510,,,,,
4511,,,32916.0,,
4512,32916.0,,,,
4513,,,,,
4514,,,,32916.0,
4515,,,32918.0,,
4516,32918.0,,,,
4517,,,,,
4518,,,32922.0,,
4519,32923.0,,,,
4520,,,,,
4521,,,32928.0,,
4522,32928.0,,,,
4523,,,,,
4524,,,,32932.0,
4525,,,32932.0,,
4526,32933.0,,,,
4527,,,,,
4528,,,32935.0,,
4529,32936.0,,,,
4530,,,,,
4531,,,32940.0,,
